ID,Reklam_Gideri,Reklam_Geliri
247,23.94,104.82
248,22.6,140.93
249,40.74,89.37
250,30.54,91.15
251,18.04,89.61
252,34.38,90.74
253,43.42,89.37
254,35.24,119.82
255,16.1,123.68
256,23.87,90.49
257,37.0,86.12
258,22.19,107.86
259,30.83,90.79
260,33.31,110.55
261,20.55,103.38
262,27.05,74.73
263,5.0,125.8
264,19.82,129.94
265,25.61,89.78
266,18.14,93.54
267,39.74,104.77
268,16.77,105.58
269,24.2,110.98
270,28.48,133.51
271,38.31,97.05
272,16.73,86.69
273,36.22,77.01
274,27.58,87.82
275,20.14,99.45
276,30.97,129.92
277,28.99,91.37
278,23.0,103.73
279,28.02,99.73
280,24.61,119.81
281,28.35,142.12
282,32.47,91.15
283,39.4,91.84
284,18.22,117.41
285,43.5,111.37
286,12.86,130.78
287,26.36,109.73
288,31.91,94.01
289,29.61,109.85
290,22.83,118.48
291,25.94,113.68
292,23.8,108.46
293,23.08,117.78
294,33.87,119.49
295,30.18,123.04
296,22.3,110.81
297,34.25,97.21
298,29.8,102.45
299,33.6,120.11
300,32.22,86.38
301,21.28,106.15
302,23.3,93.44
303,33.1,100.48
304,32.08,121.31
305,27.34,103.19
306,28.38,100.77
307,37.08,77.33
308,23.06,112.44
309,31.6,110.76
310,25.98,136.06
311,25.87,94.87
312,35.74,103.65
313,33.69,104.16
314,33.6,126.3
315,37.29,98.41
316,27.66,104.65
317,32.61,110.13
318,25.17,103.11
319,29.93,92.56
320,26.52,103.24
321,28.23,117.9
322,31.96,82.89
323,21.36,102.22
324,43.19,88.33
325,19.95,119.92
326,18.39,74.61
327,36.19,90.68
328,33.44,106.29
329,32.18,126.1
330,32.21,98.9
331,27.41,90.74
332,20.77,131.36
333,28.07,75.86
334,22.42,63.35
335,34.81,107.34
336,26.4,91.63
337,21.31,82.98
338,25.09,111.81
339,30.6,104.06
340,23.27,90.6
341,21.33,78.66
342,29.33,114.54
343,29.34,110.84
344,23.7,98.35
345,23.97,130.78
346,29.24,82.16
347,16.64,74.57
348,16.94,88.47
349,22.11,99.24
350,25.9,104.06
351,29.83,95.98
352,38.57,105.87
353,33.93,79.14
354,26.3,124.07
355,27.36,98.63
356,19.98,118.63
357,27.36,105.71
358,25.34,107.61
359,29.92,109.5
360,21.3,107.46
361,31.4,110.71
362,39.0,122.16
363,26.68,103.28
364,30.51,111.82
365,32.68,98.5
366,24.49,124.01
367,29.18,88.72
368,27.59,130.02
369,28.23,99.33
370,21.7,76.15
371,27.68,102.14
372,31.23,88.65
373,38.38,114.01
374,34.69,89.12
375,43.65,92.56
376,21.74,68.5
377,34.04,92.46
378,28.88,59.59
379,43.92,73.6
380,21.44,112.68
381,21.2,113.1
382,23.0,107.09
383,11.57,83.88
384,23.56,99.2
385,21.81,99.94
386,28.63,80.69
387,30.06,125.06
388,41.57,114.63
389,34.63,96.32
390,23.17,100.45
391,20.76,103.47
392,31.19,65.96
393,17.6,95.88
394,41.24,88.63
395,36.35,83.3
396,23.98,95.31
397,14.65,129.97
398,37.65,110.68
399,26.64,90.48
400,36.78,109.54
401,15.54,123.33
402,23.0,115.41
403,27.54,100.99
404,27.85,89.22
405,24.12,111.64
406,32.17,106.56
407,19.49,114.92
408,26.43,110.59
409,28.4,117.5
410,31.36,91.08
411,32.84,121.96
412,19.07,103.29
413,15.99,134.59
414,37.08,88.51
415,29.99,128.94
416,21.89,103.3
417,39.13,89.14
418,28.37,91.93
419,36.34,94.66
420,28.01,107.07
421,42.96,108.72
422,40.67,90.44
423,25.63,99.59
424,34.79,135.71
425,32.34,128.8
426,37.76,107.27
427,20.26,100.63
428,32.65,102.0
429,35.44,110.23
430,14.31,82.95
431,18.63,95.71
432,12.21,72.18
433,25.48,106.66
434,32.88,110.79
435,38.77,91.95
436,28.06,126.24
437,39.71,79.57
438,17.15,75.59
439,14.72,103.74
440,27.08,117.46
441,30.38,128.07
442,27.25,92.35
443,11.99,117.98
444,26.83,99.36
445,17.72,97.12
446,32.52,114.73
447,30.25,110.87
448,20.45,73.72
449,23.65,124.61
450,19.56,123.01
451,27.03,89.57
452,34.66,106.6
453,20.11,108.24
454,31.28,104.35
455,23.52,90.83
456,21.55,88.8
457,26.7,99.57
458,19.74,119.55
459,23.35,109.06
460,18.52,93.82
461,42.24,112.86
462,27.76,52.51
463,22.25,119.15
464,29.1,71.0
465,26.66,93.96
466,25.84,81.34
467,32.11,78.42
468,33.18,119.35
469,23.52,92.2
470,23.18,105.78
471,25.44,99.22
472,10.24,107.95
473,16.14,101.28
474,37.75,78.61
475,39.84,116.61
476,25.63,91.77
477,31.82,74.05
478,29.83,92.86
479,50.0,125.02
480,35.9,114.17
481,26.54,94.19
482,20.33,94.18
483,15.45,94.64
484,29.03,134.62
485,21.83,106.37
486,16.83,107.17
487,22.65,117.17
488,19.39,103.98
489,40.15,95.68
490,34.11,96.73
491,27.44,98.81
492,38.6,99.38
493,28.08,112.13
494,21.04,100.87
495,38.92,112.21
496,31.54,98.65
497,19.72,101.31
498,26.07,66.69
499,20.93,115.28
500,17.13,105.78
501,34.45,116.64
502,41.82,51.72
503,17.01,134.81
504,31.72,97.67
505,22.62,118.47
506,23.85,82.66
507,23.06,110.21
508,21.02,82.44
509,27.86,89.6
510,21.27,131.91
511,29.53,96.82
512,27.12,103.62
513,25.71,114.5
514,20.69,108.26
515,23.17,102.51
516,33.17,106.08
517,31.26,140.06
518,20.17,99.04
519,28.24,103.35
520,33.14,117.51
521,14.98,118.43
522,31.58,119.79
523,22.53,110.65
524,31.78,80.95
525,21.78,127.23
526,13.96,80.89
527,15.29,105.04
528,27.86,87.43
529,29.45,98.93
530,20.72,105.48
531,32.29,105.36
532,15.04,107.03
533,27.0,126.9
534,18.42,107.56
535,22.61,95.93
536,27.86,116.07
537,21.05,119.83
538,24.62,79.54
539,35.05,109.96
540,23.17,111.69
541,33.77,95.04
542,19.03,122.93
543,31.47,97.5
544,38.31,102.09
545,8.96,97.11
546,21.52,100.26
547,31.83,81.73
548,25.98,75.99
549,30.28,126.58
550,22.97,85.88
551,28.15,83.47
552,26.33,64.1
553,36.26,89.35
554,29.41,77.94
555,30.03,127.37
556,24.41,116.83
557,23.84,88.53
558,24.26,137.55
559,30.46,116.37
560,24.34,94.59
561,29.67,58.33
562,43.07,138.19
563,34.03,76.84
564,25.05,72.57
565,36.51,117.05
566,24.44,140.67
567,12.21,123.08
568,19.94,109.4
569,13.47,109.91
570,24.86,114.23
571,27.64,112.65
572,40.07,104.69
573,29.95,101.74
574,25.86,98.96
575,33.72,87.43
576,10.92,95.32
577,29.27,71.78
578,33.28,98.36
579,16.41,83.52
580,36.08,81.6
581,30.04,103.0
582,24.39,123.2
583,32.25,115.31
584,44.53,73.82
585,28.86,83.5
586,29.36,115.68
587,24.05,83.62
588,21.13,96.26
589,33.73,109.17
590,21.08,83.86
591,28.04,101.76
592,23.92,77.76
593,31.09,89.98
594,30.0,105.33
595,35.28,73.44
596,23.67,107.34
597,25.48,99.67
598,20.16,109.21
599,24.17,103.73
600,30.33,122.74
